Exoskeleton_Left_Thigh (Input),Exoskeleton_Right_Thigh (Input),Exoskeleton_Left_Thigh (Feedback),Exoskeleton_Right_Thigh (Feedback),Joint_Error (Left_Thigh),Joint_Error (Right_Thigh)
-10,-10,-7.25647,-7.81582
-11,-11,-7.9541,-8.58486
-12,-12,-8.56934,-9.26052
-13,-13,-9.21204,-9.93069
-14,-14,-9.93713,-10.6393
-15,-15,-10.7721,-11.5567
-16,-16,-11.8597,-12.6114
-17,-17,-12.9968,-13.7539
-18,-18,-14.057,-14.8196
-19,-19,-14.9084,-15.7205
-20,-20,-15.6665,-16.5115
-21,-21,-16.441,-17.2421
-22,-22,-17.1716,-18.0441
-23,-23,-18.0231,-18.8516
-24,-24,-18.9789,-19.7635
-25,-25,-20.0446,-20.7962
-26,-26,-21.1487,-21.9278
-27,-27,-22.3242,-23.0593
-28,-28,-23.2745,-23.9383
-29,-29,-23.9282,-24.6798
-30,-30,-24.483,-25.2841
-31,-31,-24.8566,-25.6796
-32,-32,-25.3784,-26.1795
-33,-33,-26.0431,-26.954
-34,-34,-26.955,-27.8274
-35,-35,-28.0701,-28.8656
-36,-36,-29.2621,-30.0302
-35,-35,-30.542,-31.3046
-34,-34,-32.0801,-32.8097
-33,-33,-33.1787,-33.8809
-32,-32,-33.1128,-33.815
-31,-31,-31.7175,-32.3922
-30,-30,-30.1245,-30.8871
-29,-29,-28.2019,-29.1348
-28,-28,-26.4386,-27.2946
-27,-27,-25.1477,-26.2179
-26,-26,-24.2523,-25.2566
-25,-25,-23.9172,-24.8336
-24,-24,-23.7744,-24.6469
-23,-23,-23.5052,-24.3997
-22,-22,-23.0933,-23.9877
-21,-21,-22.3627,-23.323
-20,-20,-21.3245,-22.4331
-19,-19,-20.1984,-21.351
-18,-18,-19.0228,-20.1919
-17,-17,-17.9736,-19.1043
-16,-16,-16.9409,-18.0386
-15,-15,-16.1224,-17.1048
-14,-14,-15.3754,-16.2808
-13,-13,-14.6173,-15.5392
-12,-12,-13.7988,-14.7647
-11,-11,-12.9034,-13.9791
-10,-10,-11.9092,-12.9849
-9,-9,-10.827,-12.1994
-8,-8,-10.0635,-11.3205
-7,-7,-9.21753,-10.3537
-6,-6,-8.40454,-9.47475
-5,-5,-7.56958,-8.52444
-4,-4,-6.82251,-7.61806
-3,-3,-6.00403,-6.73367
-2,-2,-5.0592,-5.86025
-1,-1,-4.21326,-5.00332
0,0,-3.43872,-4.25625
1,1,-2.62573,-3.32241
2,2,-1.71936,-2.48196
3,3,-0.961304,-1.73489
4,4,-0.12085,-0.784569
5,5,0.593262,0.248146
6,6,1.30188,1.22044
7,7,2.07092,2.04441
8,8,2.81799,2.89036
9,9,3.36731,3.69236
10,10,3.47168,4.48887
11,11,3.8562,5.35679
12,12,4.3396,6.00498
13,13,5.26245,6.45542
14,14,6.17432,6.49387
15,15,7.2345,6.66965
16,16,7.92114,7.65293
17,17,8.67371,8.57578
18,18,9.58557,9.38328
19,19,10.3876,10.3171
20,20,11.228,11.251
21,21,11.9806,12.0749
20,20,12.7277,12.855
19,19,13.4583,13.6734
18,18,13.7659,14.0525
17,17,13.0023,13.4208
16,16,11.5961,11.9486
15,15,10.2832,10.6742
14,14,8.77258,8.95481
13,13,7.29492,7.598
12,12,6.22925,6.64768
11,11,5.3064,5.97202
10,10,4.89441,5.46665
9,9,4.77356,5.23045
8,8,4.57581,4.97776
7,7,4.1748,4.84043
6,6,3.33435,4.87888
5,5,2.38403,4.12083
4,4,1.45569,2.9398
3,3,0.488892,1.75877
2,2,-0.263672,0.753517
1,1,-1.21948,-0.114403
0,0,-1.93359,-0.888939
-1,-1,-2.40601,-1.66897
-2,-2,-2.45544,-2.56435
-3,-3,-2.71362,-3.32241
-4,-4,-3.4552,-4.01455
-5,-5,-4.30115,-4.80007
-6,-6,-5.24048,-5.7394
-7,-7,-6.2677,-6.64028
-8,-8,-7.16858,-7.52468
-9,-9,-8.01453,-8.37063
-10,-10,-8.82751,-9.17812
-11,-11,-9.51965,-10.0406
-12,-12,-10.2612,-10.87
-13,-13,-11.0248,-11.7105
-14,-14,-11.8488,-12.5454
-15,-15,-12.6892,-13.4518
-16,-16,-13.6395,-14.3417
-17,-17,-14.5734,-15.2041
-18,-18,-15.4028,-16.0281
-19,-19,-16.1499,-16.7697
-20,-20,-16.8805,-17.4948
-21,-21,-17.6385,-18.2583
-22,-22,-18.3911,-19.1153
-23,-23,-19.3634,-20.093
-24,-24,-20.4291,-21.1477
-25,-25,-21.5332,-22.2189
-26,-26,-22.6099,-23.323
-27,-27,-23.67,-24.3393
-28,-28,-24.6149,-25.2017
-29,-29,-25.3619,-26.0257
-30,-30,-26.0596,-26.7288
-31,-31,-26.7352,-27.4813
-32,-32,-27.5482,-28.2174
-33,-33,-28.2019,-28.9645
-34,-34,-29.2621,-29.8434
-35,-35,-30.3113,-30.7937
-36,-36,-31.333,-31.7825
-35,-35,-32.2174,-32.6889
-34,-34,-32.9535,-33.4414
-33,-33,-32.959,-33.6996
-32,-32,-31.8549,-32.958
-31,-31,-29.9927,-30.9311
-30,-30,-28.3282,-29.3435
-29,-29,-26.6034,-27.7505
-28,-28,-25.329,-26.4871
-27,-27,-24.6149,-25.773
-26,-26,-24.2743,-25.3006
-25,-25,-24.0381,-24.9435
-24,-24,-23.6096,-24.4052
-23,-23,-22.7692,-23.5757
-22,-22,-21.6595,-22.5265
-21,-21,-20.3687,-21.34
-20,-20,-19.0942,-20.2688
-19,-19,-18.0835,-19.3789
-18,-18,-17.3035,-18.6264
-17,-17,-16.6937,-17.9287
-16,-16,-16.0126,-17.1707
-15,-15,-15.2271,-16.2149
-14,-14,-14.4525,-15.3744
-13,-13,-13.277,-14.1989
-12,-12,-12.3157,-13.1991
-11,-11,-11.2885,-12.3587
-10,-10,-10.6238,-11.8423
-9,-9,-9.93164,-11.2271
-8,-8,-9.34387,-10.502
-7,-7,-8.54736,-9.70547
-6,-6,-7.65747,-8.67275
-5,-5,-6.53137,-7.55215
-4,-4,-5.44922,-6.45351
-3,-3,-4.40552,-5.36587
-2,-2,-3.60352,-4.59682
-1,-1,-2.96082,-3.93764
0,0,-2.42798,-3.33889
1,1,-1.91711,-2.62478
2,2,-1.32385,-1.84475
3,3,-0.637207,-0.982323
4,4,0.20874,0.00644684
5,5,1.15356,1.00071
6,6,2.09839,2.01145
7,7,2.87842,2.84092
8,8,3.4552,3.62644
9,9,3.75183,4.38999
10,10,3.86169,5.1096
11,11,4.38354,5.76328
12,12,5.04822,6.2302
13,13,6.02051,6.36753
14,14,6.95984,6.55979
15,15,7.7179,7.48814
16,16,8.04199,8.09788
17,17,8.23975,8.1583
18,18,8.16284,8.08689
19,19,7.94861,7.98801
20,20,7.72888,7.69688
21,21,7.41577,7.52659
20,20,7.229,7.37827
19,19,7.19055,7.3563
18,18,7.33337,7.46067
17,17,7.58606,7.62547
16,16,7.80029,7.78477
