Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-2.38403,6.34766,0.141113,1.18652,0.366211,0.0141602,-0.944824,2.2583,0.050293,-0.258179,2.19727,-0.0307617,1.23047,4.15039,-0.136719,3.1311,-0.488281,0.0625,2.74658,2.99072,-0.0136719,-1.23047,2.01416,-0.591309,-235,-1,-79,-1,1.87373,2.9462,1.90199,0
-2.38403,6.34766,0.141113,1.18652,0.366211,0.0141602,-0.933838,2.31934,0.0463867,-0.258179,2.19727,-0.0366211,1.26892,3.66211,-0.135254,3.1311,-0.488281,0.0625,2.76855,3.17383,-0.0244141,-1.21948,2.13623,-0.586914,-230,-1,-80,0,1.89374,2.96434,1.85719,0
-2.17529,7.38525,0.135254,1.203,0.244141,0.019043,-0.900879,2.62451,0.0527344,-0.241699,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-233,0,-82,1,1.9695,2.9937,1.78357,0
-2.17529,7.38525,0.135254,1.203,0.244141,0.019043,-0.900879,2.62451,0.0527344,-0.241699,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-233,0,-82,1,1.9695,2.9937,1.78357,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-233,0,-82,1,1.9695,2.9937,1.78357,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-233,0,-82,1,1.9695,2.9937,1.78412,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-233,0,-82,1,1.9695,2.9937,1.78412,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-236,0,-81,0,1.9695,2.9937,1.78412,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.595215,-236,0,-81,0,1.97809,2.99083,1.78412,0
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.34583,2.99072,-0.140137,3.1311,-0.488281,0.0625,2.80151,2.56348,-0.0283203,-1.2085,2.31934,-0.599121,-236,0,-81,0,1.97809,2.99083,1.78412,0
