time,Angle_Thigh,Angle_Calf,Presure_Front,Presure_Middle,Presure_Back,Angle_Thigh_D,Angle_Calf,Presure_Front_D,Presure_Middle_D,Presure_Back_D,label
3.221688032,-38,8,0,0,6,0.620792572,0.620792572,0,0,-0.310396286,"0,0,1"
3.237714529,-32,9,0,0,6,1.853159056,0.308859843,0,0,0,"0,0,1"
3.261660814,-28,9,0,0,7,1.226369089,0,0,0,0.306592272,"0,0,1"
3.285643339,-23,10,0,0,7,1.521771989,0.304354398,0,0,0,"0,0,1"
3.309626341,-18,10,0,0,7,1.510744563,0,0,0,0,"0,0,1"
3.325617552,-14,10,0,0,6,1.202784126,0,0,0,-0.300696031,"0,0,1"
3.349602461,-9,10,0,0,9,1.492714451,0,0,0,0.895628671,"0,0,1"
3.365591288,-3,10,0,0,7,1.782747662,0,0,0,-0.594249221,"0,0,1"
3.38957572,1,9,0,0,6,1.180088699,-0.295022175,0,0,-0.295022175,"0,0,1"
3.429832458,12,8,0,0,7,3.207153741,-0.291559431,0,0,0.291559431,"0,0,1"
3.4557693,16,7,0,0,6,1.157484673,-0.289371168,0,0,-0.289371168,"0,0,1"
3.471751928,19,6,0,0,6,0.86411704,-0.288039013,0,0,0,"0,0,1"
3.495702744,21,6,0,0,6,0.572131027,0,0,0,0,"0,0,1"
3.51169014,22,6,0,0,4,0.284763165,0,0,0,-0.569526331,"0,0,1"
3.543668985,22,5,0,0,4,0,-0.2821934,0,0,0,"0,0,1"
3.559660912,20,5,0,0,97,-0.561851269,0,0,0,26.126084,"1,0,0"
3.599680901,17,4,1,0,364,-0.833407205,-0.277802402,0.277802402,0,74.17324129,"1,0,0"
3.623615503,15,3,3,0,420,-0.551934939,-0.275967469,0.551934939,0,15.45417828,"1,0,0"
3.647602081,13,3,2,0,425,-0.548305422,0,-0.274152711,0,1.370763556,"1,0,0"
3.663591623,11,2,2,0,417,-0.545912374,-0.272956187,0,0,-2.183649496,"1,0,0"
3.687572956,9,1,4,0,434,-0.542362151,-0.271181075,0.542362151,0,4.610078283,"1,0,0"
3.711555719,8,0,2,0,471,-0.269428799,-0.269428799,-0.538857598,0,9.968865564,"1,0,0"
3.727579832,7,-1,1,38,476,-0.268270579,-0.268270579,-0.268270579,10.194282,1.341352895,"1,0,0"
3.751531124,4,-2,3,79,465,-0.799673494,-0.266557831,0.533115662,10.92887108,-2.932136143,"1,0,0"
3.775550604,3,-2,0,102,439,-0.264862031,0,-0.794586092,6.091826706,-6.886412799,"1,0,0"
3.791539192,2,-3,1,103,385,-0.263745131,-0.263745131,0.263745131,0.263745131,-14.24223706,"1,0,0"
3.815495729,1,-4,5,97,297,-0.262089141,-0.262089141,1.048356566,-1.572534849,-23.06384445,"1,0,0"
3.831478357,0,-5,14,92,206,-0.260995863,-0.260995863,2.348962766,-1.304979314,-23.75062352,"1,0,0"
3.863457203,0,-6,45,79,119,0,-0.258835532,8.023901488,-3.364861914,-22.51869127,"1,0,0"
3.879447699,-1,-8,111,96,96,-0.257768651,-0.515537302,17.01273097,4.382067067,-5.928678974,"0,1,0"
3.922697067,-3,-10,148,130,79,-0.509853289,-0.509853289,9.432285839,8.667505907,-4.333752953,"0,1,0"
3.946643829,-4,-12,187,136,77,-0.253379845,-0.506759689,9.881813938,1.520279067,-0.506759689,"0,1,0"
3.96263051,-4,-13,248,148,29,0,-0.252357619,15.39381475,3.028291426,-12.11316571,"0,1,0"
4.01059866,-5,-15,295,176,6,-0.249339334,-0.498678669,11.71894871,6.981501361,-5.734804689,"0,1,0"
4.04729104,-7,-17,362,212,0,-0.494157692,-0.494157692,16.55428269,8.894838459,-1.482473076,"0,1,0"
4.111203194,-11,-18,444,272,0,-0.97295118,-0.243237795,19.9454992,14.59426771,0,"0,1,0"
4.135185242,-12,-18,455,284,1,-0.241827135,0,2.660098486,2.901925621,0.241827135,"0,1,0"
4.151212931,-14,-18,475,304,0,-0.481786898,0,4.817868978,4.817868978,-0.240893449,"0,1,0"
4.172746897,-15,-19,491,309,0,-0.239650289,-0.239650289,3.834404625,1.198251445,0,"0,1,0"
4.196728706,-17,-19,504,315,0,-0.47656166,0,3.097650792,1.429684981,0,"0,1,0"
4.220710754,-18,-18,514,317,0,-0.23692692,0.23692692,2.369269202,0.47385384,0,"0,1,0"
4.284808159,-25,-16,497,373,0,-1.633678741,0.466765355,-3.967505515,13.06942993,0,"0,1,0"
4.303111076,-28,-14,449,261,0,-0.697170012,0.464780008,-11.15472019,-26.02768044,0,"0,1,0"
4.327095509,-31,-11,426,24,0,-0.693305704,0.693305704,-5.315343734,-54.77115066,0,"0,1,0"
4.347549915,-34,-9,329,7,0,-0.690043831,0.460029221,-22.31141721,-3.910248377,0,"0,1,0"
4.371528864,-36,-6,216,5,0,-0.457505843,0.686258765,-25.84908015,-0.457505843,0,"0,1,0"
4.395479918,-39,-3,14,0,0,-0.682519328,0.682519328,-45.95630143,-1.137532214,0,"0,0,1"
4.434258699,-44,1,0,0,0,-1.127584189,0.902067351,-3.15723573,0,0,"0,0,1"
4.450292587,-44,3,0,0,0,0,0.449408654,0,0,0,"0,0,1"
4.474270582,-43,5,0,0,0,0.223500117,0.447000235,0,0,0,"0,0,1"
4.498218298,-41,7,0,0,0,0.444620485,0.444620485,0,0,0,"0,0,1"
4.514242172,-38,8,0,0,0,0.664563372,0.221521124,0,0,0,"0,0,1"
4.538232327,-35,10,0,0,0,0.661050335,0.440700223,0,0,0,"0,0,1"
4.55740428,-30,11,0,0,0,1.097115747,0.219423149,0,0,0,"0,0,1"
4.597426891,-18,12,0,0,0,2.610155699,0.217512975,0,0,0,"0,0,1"
4.621412277,-13,11,0,0,0,1.081920352,-0.21638407,0,0,0,"0,0,1"
4.645387411,-8,11,0,0,0,1.076336494,0,0,0,0,"0,0,1"
4.669372082,-2,10,0,0,0,1.284969348,-0.214161558,0,0,0,"0,0,1"
4.685361862,3,10,0,0,1,1.067153434,0,0,0,0.213430687,"0,0,1"
4.709353209,8,9,0,0,3,1.061716923,-0.212343385,0,0,0.424686769,"0,0,1"
4.725299597,12,9,0,0,3,0.846507172,0,0,0,0,"0,0,1"
4.773266554,19,6,0,0,4,1.466500963,-0.628500413,0,0,0.209500138,"0,0,1"
4.79724741,20,6,0,0,4,0.208452872,0,0,0,0,"0,0,1"
4.813240051,20,5,0,0,7,0,-0.207760259,0,0,0.623280777,"0,0,1"
4.83722353,19,5,0,0,50,-0.206730161,0,0,0,8.889396931,"1,0,0"
4.853212833,17,4,0,0,257,-0.412098144,-0.206049072,0,0,42.65215788,"1,0,0"
4.87719655,16,3,0,0,291,-0.205035821,-0.205035821,0,0,6.971217922,"1,0,0"
4.901213408,16,2,0,0,325,0,-0.204031108,0,0,6.937057658,"1,0,0"
4.943029165,10,2,0,0,357,-1.213830588,0,0,0,6.473763138,"1,0,0"
4.959017515,8,1,1,0,370,-0.403305694,-0.201652847,0.201652847,0,2.62148701,"1,0,0"
4.983002424,7,0,4,0,422,-0.200682222,-0.200682222,0.602046667,0,10.43547556,"1,0,0"
5.006983995,5,-1,1,63,446,-0.39944206,-0.19972103,-0.59916309,12.58242488,4.793304716,"1,0,0"
5.022975683,4,-2,1,82,439,-0.199085176,-0.199085176,0,3.782618352,-1.393596235,"1,0,0"
5.048071146,3,-2,0,107,420,-0.198095465,0,-0.198095465,4.95238662,-3.763813831,"1,0,0"
5.064096451,2,-3,3,104,385,-0.197468593,-0.197468593,0.592405778,-0.592405778,-6.911400748,"1,0,0"
5.112066507,0,-6,4,65,281,-0.391231217,-0.586846825,0.195615608,-7.629008727,-20.34402327,"1,0,0"
5.13169837,-1,-7,4,61,188,-0.19486726,-0.19486726,0,-0.77946904,-18.12265517,"1,0,0"
5.155684233,-2,-8,16,71,113,-0.193960676,-0.193960676,2.327528114,1.939606762,-14.54705071,"1,0,0"
5.171673775,-2,-10,23,107,85,0,-0.386721995,1.353526983,6.960995911,-5.414107931,"1,0,0"
5.195657492,-3,-10,47,107,62,-0.192468422,0,4.619242134,0,-4.426773712,"0,1,0"
5.21967411,-4,-11,113,137,57,-0.191582842,-0.191582842,12.64446757,5.747485258,-0.95791421,"0,1,0"
5.243623257,-5,-13,187,154,56,-0.190707828,-0.381415655,14.11237924,3.242033069,-0.190707828,"0,1,0"
5.259614706,-6,-14,301,195,10,-0.190127995,-0.190127995,21.67459146,7.795247806,-8.745887783,"0,1,0"
5.2835989,-7,-14,364,211,3,-0.189264935,0,11.92369088,3.028238953,-1.324854542,"0,1,0"
5.307614565,-8,-15,396,250,3,-0.188408557,-0.188408557,6.029073816,7.347933714,0,"0,1,0"
5.323610544,-9,-16,425,295,1,-0.187842441,-0.187842441,5.447430791,8.452909849,-0.375684882,"0,1,0"
5.347801685,-10,-17,445,316,2,-0.186992723,-0.186992723,3.739854463,3.926847186,0.186992723,"0,1,0"
5.371795177,-11,-17,474,362,1,-0.186157507,0,5.398567712,8.563245336,-0.186157507,"0,1,0"
5.411768198,-15,-17,508,420,0,-0.739129958,0,6.282604642,10.71738439,-0.184782489,"0,1,0"
5.435590029,-17,-18,518,440,2,-0.367945336,-0.183972668,1.83972668,3.679453361,0.367945336,"0,1,0"
5.454732418,-19,-17,537,446,2,-0.366654099,0.183327049,3.48321394,1.099962297,0,"0,1,0"
5.478717566,-20,-17,545,435,2,-0.182524466,0,1.460195731,-2.00776913,0,"0,1,0"
5.49473834,-23,-16,540,406,1,-0.545976863,0.181992288,-0.909961438,-5.277776339,-0.181992288,"0,1,0"
5.51872611,-25,-15,520,322,0,-0.362402475,0.181201237,-3.624024748,-15.22090394,-0.181201237,"0,1,0"
5.542673349,-29,-12,471,263,0,-0.721673414,0.541255061,-8.840499324,-10.64468286,0,"0,1,0"
5.566659927,-32,-9,439,13,0,-0.538922808,0.538922808,-5.748509953,-44.91023401,0,"0,1,0"
5.583729982,-35,-7,237,6,0,-0.537275264,0.358183509,-36.17653444,-1.253642283,0,"0,1,0"
5.607755899,-38,-5,52,0,0,-0.534973357,0.356648905,-32.9900237,-1.069946714,0,"0,1,0"
5.623749495,-40,-4,0,0,0,-0.355634617,0.177817309,-9.246500053,0,0,"0,0,1"
